ftc2,fuel_name
0,NONE
1,TYPE UNKNOWN
00C,HEAT.COAL
00D,HEAT.GAS/WOOD
00E,ELECTRIC
00G,HEAT.GAS
00I,HEAT.ELECTRIC/OIL
00M,HEAT.GAS STEAM
00N,HEAT.SOLAR/COAL/WOOD
00O,HEAT.OIL
00P,HEAT.COAL/WOOD
00Q,HEAT.SOLAR/OIL
00R,HEAT.ELECTRIC/RADIANT
00S,HEAT.SOLAR
00T,HEAT.ELECTRIC/HOT WATER
00W,HEAT.WOOD
00Y,HEAT.OIL/WOOD
00Z,HEAT.GAS SOLAR
999,BYPASS
FBU,BUTANE
FCO,COAL
FCV,CONVECTION
FCW,COAL/WOOD
FEL,ELECTRIC
FGA,GAS
FGN,NO GAS PUBLIC/PIPED
FGP,GAS PUBLIC/PIPED
FGS,GAS/SOLAR
FKE,KEROSENE
FLP,LIQUEFIED PETROLEUM GAS
FOI,OIL
FOS,OIL/SOLAR
FSO,SOLAR
FWD,WOOD
FWO,COAL/WOOD/OIL
